## Torsion are defined with the following atomIDs:
# dihed1: ai= 6428 aj= 6429 ak= 6430 al= 12551
# dihed2: ai= 6410 aj= 6409 ak= 6408 al= 6407
# dihed3: ai= 6427 aj= 6411 ak= 6412 al= 6413
# dihed4: ai= 6412 aj= 6413 ak= 6414 al= 6416
# dihed5: ai= 6413 aj= 6414 ak= 6416 al= 6417
# dihed6: ai= 6414 aj= 6416 ak= 6417 al= 6418
# dihed7: ai= 6416 aj= 6417 ak= 6418 al= 6419
# dihed8: ai= 6417 aj= 6418 ak= 6419 al= 12543
# dihed9: ai= 6419 aj= 6418 ak= 6420 al= 6421
# dihed10: ai= 6422 aj= 6423 ak= 6424 al= 12546
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9  dihed10
0  -35.397   -4.452   -8.773  178.024 -179.016  -68.532  -60.149   83.070  154.432 -166.952
1  -48.044  -39.741  -37.581 -178.981  164.210 -120.540  -57.864   44.335  -94.592   -2.329
2  -44.199  -10.877  -13.286  174.210  177.091 -154.308  -62.707   80.770  -83.805    7.833
3  -33.962  -16.264  -16.541  170.553  173.493 -123.091  -60.258   61.612  -96.582  -15.986
4  -28.101  -16.395  -51.877 -176.447  179.549 -125.554  -75.190   39.623 -100.749   -2.600
5  -35.486  -29.208  -28.128  176.087  167.228 -141.330  -60.747   76.116  -79.242    3.298
6 -101.250  -80.330  -14.244 -166.353  168.336  161.275  -51.571  -54.391    1.445   11.936
7  -53.781   -6.031  -28.238 -178.935  175.296 -159.075  -60.637   84.876  -90.928    4.616
8  -95.369   -6.151  -15.203 -159.478  164.437  177.985  -49.993   38.090  -49.658   11.080
9  -31.016  -34.467  -37.701 -160.483  177.545 -145.543  -51.603   72.430  -88.307   -7.491
10  -66.443  -55.170  -41.313 -161.542  174.895 -120.571  -84.252   58.676  -96.027   34.828
11  -14.718   17.252  -12.987  171.487  159.453 -179.681  -51.068   68.680  -57.359    0.786
12  -28.976  -17.217  -30.732 -176.833  178.389 -129.945  -69.801   44.551  -75.888   -6.353
13  -22.584  -17.962  -30.723  177.805  166.119 -137.511  -66.279   46.050 -101.345   22.150
14  -44.834   -5.558  -35.067 -171.066  179.264  175.246  -58.940   24.088  -62.710  168.235
15  -16.333   -3.069  -50.571 -179.144  173.364 -146.620  -62.766   64.048  -67.026  157.195
16  -12.545    0.219  -32.613 -179.822  155.578 -145.509  -58.409   46.228  -61.386 -175.773
17  -20.875   26.766  -28.997 -175.037  175.512 -162.652  -72.411   60.310  -66.484   24.138
18  -38.541   29.079  -33.828 -155.062  168.554 -163.662  -61.661   53.671  -59.231   11.242
19  -52.576   -3.317  -12.611  157.517  167.365 -126.641  -64.668   56.402  -95.442   -3.142
20  -39.398   -6.908  -35.281 -175.598 -178.337 -149.886  -73.561   55.521  -60.258   -6.282
21  -26.049  -23.378   -5.957  160.320 -178.258 -151.663  -71.345   78.131  -69.610   10.983
22  -57.059  -35.957  -22.672 -179.548  169.168 -134.638  -75.373   32.674  -77.172    3.215
23   19.132  -88.431    6.855 -171.027  171.361 -175.203  -55.591   10.586  -78.180   16.559
24  -46.283  -80.795  -26.825  179.478  174.313 -122.617  -68.373   50.143  -74.027  -24.288
25  -78.541  -51.911  -17.832 -165.962  177.843 -165.518  -59.960   47.991  -47.305    9.606
26  -75.581  -77.600  -38.078 -152.331  169.450 -120.816  -61.339   25.344 -115.488    7.436
27    4.849  -61.542  -53.465 -149.058  171.113 -108.272  -59.052   54.007 -108.834   10.427
28   -7.316  -79.555  -25.215 -177.434  177.203 -113.955  -77.169   36.748  -82.158   -0.981
29  -10.791  -83.442    2.422  153.274  170.529  -97.249  -64.940   32.478  -84.911   -7.110
30  -81.259  -72.428  -18.539  177.488  173.065  -63.087  -70.190   10.372  -64.378    3.154
31  -64.666  -66.568  -22.020  177.220 -179.230  -79.368  -61.736   28.026  -96.735  -16.767
32    3.329  -72.748  -15.632  166.274  176.970  -79.615  -76.003   33.339  -54.102  -12.394
33  -52.298  -36.315  -20.015  164.236  175.828  -81.358  -63.801   31.664 -101.607   28.679
34   -8.267  -82.361  -18.422  170.422  173.574  -80.160  -66.333   53.140  -72.706   -1.918
35  -87.600  -78.722  -10.277 -163.172 -177.549 -118.704  -78.385   50.105  -79.321  -11.100
36  -79.395  -86.055  -27.505 -163.289  168.426 -121.401  -59.686   43.711 -133.112   -1.391
37  -36.543  -93.730  -18.379  179.698  177.231 -158.973  -56.478   51.393  -48.913  159.906
38  -22.885  -90.290    1.246 -157.605  179.870  178.503  -64.156   57.925  -75.334  -17.320
39  -11.456  -78.340  -14.129 -168.008  179.264  176.444  -52.924   57.026  -46.476   14.275
40  -13.813  -89.848   -5.397 -164.597 -179.525 -168.931  -57.420   52.156  -39.904    0.388
41    8.175  -74.396  -21.743 -179.230  179.221  -92.078  -57.245   10.167 -117.926 -176.216
42  -13.661  -97.375  -24.609 -172.298 -173.713 -136.882  -63.549   35.112  -83.465  -14.491
43    0.923  -78.354  -21.262  179.585  171.669 -113.820  -68.298   60.263  -79.672    5.386
44   -7.368  -91.095  -11.942 -169.648  174.162 -132.466  -65.252   29.284  -60.787   14.627
45  -85.117  -82.278  -15.536 -150.169  175.187 -163.487  -57.560   54.455  -54.484   -4.021
46  -47.273    9.894  -28.863  151.891  165.980 -109.385  -61.075   65.297  -67.360  -14.598
47  -74.575  -64.924  -29.712 -165.908  168.326 -145.756  -60.786   79.338  -48.478   -7.888
48  -28.027  -82.204  -26.099 -156.004  177.728 -162.799  -61.176   35.604  -93.784  166.795
49  -91.166  -83.362   -9.355 -176.576  175.190 -159.225  -51.572   46.081  -40.616  166.242
50  -83.375  -68.831   -9.422 -179.063 -174.343 -156.013  -58.443   68.128  -58.301 -169.879
51  175.114  -95.156  -31.710  174.395  176.021  -89.174  -64.093   31.709 -110.981   -1.441
52  -94.006 -105.820  -15.641 -176.239  170.846 -113.103  -65.074   74.278  -74.928   14.988
53  -19.769 -107.197  -29.538 -179.687  173.510 -101.391  -67.927   56.551  -96.279    8.480
54  -55.994  -93.007  -17.870  172.747 -175.792  -92.690  -59.123    5.619  -98.085  -11.750
55  -74.937  -57.830  -16.783  170.469  167.421  -84.011  -62.485   39.477 -114.816   -4.458
56  -28.003  -86.620  -11.497 -162.619 -176.385 -160.468  -59.548   59.637  -53.456   25.481
57  -51.644  -99.136  -10.018  171.197  170.899  -92.237  -54.066   19.604 -101.453   -5.393
58  -19.534  -86.287   -4.571 -165.474 -178.546  167.630  -48.874   59.483  -42.631   49.689
59   -0.512 -103.804    4.784 -179.488  166.839 -161.882  -49.022   63.132  -62.387 -173.908
60  -16.703  -96.195   -0.465 -169.701  164.053 -123.236  -64.614   54.817  -73.740   10.292
61  -13.399  -67.503  -17.100 -167.179  168.591 -128.612  -58.026   45.375 -105.797   -5.354
62  -33.854  -88.517  -14.415 -168.344  173.602  -81.416  -53.673   39.570 -103.590   37.712
63    0.745  -71.623  -21.318 -164.101 -176.233 -157.592  -60.796   47.393  -77.131   19.667
64  -73.847  -78.572  -18.489  176.238 -179.576 -136.536  -65.448   62.999  -54.310  -15.738
65   -2.333 -108.440   13.770  162.336  174.829 -162.247  -42.175   32.729  -56.189 -156.062
66   11.451 -109.348  -17.180 -157.195 -170.675 -148.460  -72.691   56.955  -57.086   12.086
67  -28.699  -97.348   -1.022  167.409  176.323  -82.795  -69.522   24.304 -113.913  -13.114
68    7.364 -104.099   -1.705 -173.642  164.335 -137.483  -56.542   61.402 -100.695   -5.366
69   10.891  -99.973  -26.736 -159.568 -178.333  -96.666  -62.008   61.752 -115.114   15.977
70  -30.834  -71.353    6.908  169.272  173.433  -66.306  -49.254   34.479 -143.098  -26.129
71   -5.488 -109.265  -10.747 -161.747 -179.311 -163.427  -70.401   62.599  -78.056  -15.928
72   13.429 -101.048   -5.696 -164.759 -178.597 -157.687  -60.333   20.621  -77.677   28.956
73   -7.129  -94.666  -53.803 -138.263  168.467 -137.234  -54.061   55.086 -114.790  -29.259
74   21.409 -101.432  -12.387  173.688  178.523 -138.860  -58.225   49.860  -84.552   -9.588
75  -12.026 -101.141  -28.527 -171.547 -177.980 -138.702  -68.318   87.027  -73.354   54.340
76  -29.812 -115.047  -21.559 -154.604 -178.183  178.879  -55.392   69.187  -30.828  -10.902
77   -4.278  -86.067  -10.125 -164.356  166.648 -164.186  -58.842   51.687  -52.616  -19.304
78   -2.804  -98.170  -38.010 -167.915  175.421 -118.089  -52.502   23.730 -101.847  139.642
79   -7.584  -96.835  -30.700 -142.012 -174.293 -169.793  -48.419   37.940  -49.800  179.786
80   -3.104  -94.309  -39.990 -153.553  175.612  174.908  -54.879   57.262  -46.973   -4.832
81   21.983 -105.663  -39.280 -159.846  178.763 -147.685  -62.708   55.531  -73.107    8.410
82  -20.013  -80.972   -1.449 -179.797 -177.726 -152.651  -72.167   40.697  -77.964   19.474
83  -21.357 -110.688   -3.685 -145.647  176.045  162.311  -49.848   63.094  -53.102   -8.179
84   -0.496  -93.829  -26.394 -174.777  174.708 -134.253  -66.793   53.006  -97.721    8.220
85  -49.661  -78.381  -13.255 -161.304 -171.118 -140.707  -61.563   43.798  -91.156   -9.760
86  -18.369  -88.120    2.717  178.963  172.641  -98.705  -46.084   26.530 -127.524  -15.809
87    3.056  -77.764   -1.346  174.068  177.777 -163.211  -52.723   55.831  -67.388   -4.515
88   -9.356 -113.772  -13.354 -175.887  179.359 -155.033  -62.147   67.681  -56.234   -1.560
89  -11.466  -98.037  -24.479 -162.741 -174.974  -89.138  -64.141 -163.530 -116.489    8.267
90   17.343  -80.792  -25.177 -150.921  173.889 -178.684  -45.089   48.559  -57.071    0.697
91    5.817 -100.294  -15.043 -175.929 -179.303 -158.044  -61.647   46.464  -77.432  174.463
92   -5.850 -112.082  -33.714 -173.042 -172.169 -153.904  -66.643   64.089  -71.265  -10.837
93   -9.774  -87.425   -4.576  173.462  174.776 -108.959  -68.178   32.927 -103.026   23.543
94   -4.891  -92.946  -33.284 -167.309  175.974 -142.979  -55.840   56.879  -39.420    9.590
95    0.801  -95.836  -16.915  171.539  171.553 -114.863  -63.663   36.948  -93.802   -1.075
96  -13.599  -77.855  -43.243  165.111 -178.970  -79.876  -54.446    6.908  -26.484  -30.886
97  -36.645  -89.338  -25.224  167.497  174.287 -108.245  -65.124   92.613  -55.435   21.116
98  -23.023  -91.011    0.176 -173.036  172.080 -148.717  -50.018   41.738  -94.556   22.177
99  -13.037  -79.082   -8.383  177.617  179.713 -163.723  -55.162   59.512  -71.370   10.442
100  -19.220  -96.669   -5.056 -167.865 -179.568  -48.345  -40.324   74.522  155.056    4.033
101    0.150  -89.696  -42.644 -156.457  171.468  -62.057  -52.210   22.982 -143.321   11.627
102  -29.429  -99.409  -34.348 -163.883 -174.866 -130.176  -74.712   59.369  -76.000    6.177
103    1.180  -96.859  -14.505 -148.071  173.492 -176.634  -47.444   31.812  -96.082   29.858
104   -3.363  -91.992   22.463  162.627  166.689  -67.511  -49.362   29.615  156.692   -2.276
105  -16.221  -92.653   -4.721  154.802  170.242  -72.982  -56.366   28.935 -133.152   29.575
106   -3.261 -121.724    9.362 -175.845 -178.825  -88.169  -52.292   25.056 -176.777  173.131
107   -6.429  -77.287  -13.621  175.455  179.940  -66.521  -45.190   58.788  164.480   -7.144
