  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        5.593            0      328.442       86.335      206.488
        1        0.525        5.623            0      326.030      110.286      210.278
        2        0.502        5.608            0      327.887      105.825      206.747
        3        0.462        5.554            0      327.137       96.380      207.131
        4        0.332        5.562            0      327.137      103.624      206.180
        5        0.261        5.561            0      327.384       93.176      202.909
        6        0.493        5.652            0      326.860      102.579      211.495
        7        0.323        5.568            0      326.454       91.702      208.943
        8        0.372        5.546            0      327.002       92.485      213.830
        9        0.503        5.587            0      328.257       90.294      205.491
       10        0.367        5.567            0      326.270       92.457      206.447
       11        0.562        5.728            0      330.584      115.732      202.692
       12        0.521        5.647            0      327.504       98.283      206.287
       13        0.697        5.628            0      327.321       89.525      206.389
       14        0.558        5.611            0      326.675      107.773      203.677
       15        0.567        5.680            0      327.997       93.677      207.367
       16        0.565        5.589            0      327.729      111.310      209.433
       17        0.632        5.654            0      323.188      102.873      200.934
       18        0.626        5.648            0      327.021      116.514      207.253
       19        0.624        5.579            0      325.985       91.845      209.505
       20        0.581        5.667            0      326.425      109.325      204.459
       21        0.635        5.597            0      324.573      123.566      198.813
       22        0.390        5.610            0      327.950      101.300      205.496
       23        0.566        5.633            0      327.102      104.727      205.053
       24        0.558        5.530            0      324.677      105.656      203.494
       25        0.517        5.569            0      326.880       92.748      200.400
       26        0.569        5.627            0      327.314       97.904      202.638
       27        0.597        5.668            0      328.642      105.971      205.017
       28        0.726        5.593            0      324.755      119.436      201.977
       29        0.580        5.645            0      324.947      101.162      201.595
       30        0.430        5.622            0      327.304      108.358      207.690
       31        0.520        5.544            0      325.309      102.241      205.270
       32        0.521        5.605            0      324.814      112.766      205.073
       33        0.604        5.576            0      326.153      103.485      206.221
       34        0.631        5.584            0      326.939      109.890      206.936
       35        0.464        5.609            0      325.618       93.798      207.882
       36        0.636        5.614            0      328.946       82.147      207.524
       37        0.490        5.593            0      328.787      110.487      208.281
       38        0.565        5.620            0      326.708      116.730      203.273
       39        0.470        5.600            0      326.142      105.522      203.685
       40        0.683        5.626            0      326.008       98.864      205.444
       41        0.894        5.717            0      325.372      103.158      193.839
       42        0.873        5.610            0      326.938       85.728      200.937
       43        1.045        5.628            0      324.812      102.567      196.773
       44        0.925        5.603            0      324.183       76.679      200.713
       45        0.832        5.578            0      329.064      143.010      208.505
       46        0.793        5.711            0      326.068      104.285      201.589
       47        0.729        5.754            0      330.700      125.408      208.113
       48        0.898        5.601            0      325.703       89.959      196.600
       49        0.702        5.593            0      326.998       83.777      201.939
       50        0.855        5.559            0      323.149       83.135      200.463
       51        1.080        5.619            0      325.919      145.402      202.407
       52        0.862        5.681            0      325.613      135.768      198.278
       53        0.938        5.578            0      326.001      150.622      202.571
       54        0.975        5.552            0      324.058      147.029      202.443
       55        0.790        5.617            0      323.646      111.077      195.690
       56        1.057        5.586            0      325.469      153.661      203.994
       57        0.752        5.596            0      326.451      109.911      206.032
       58        0.834        5.662            0      325.771      104.168      203.025
       59        0.854        5.552            0      321.039       90.076      200.279
       60        0.819        5.660            0      325.691      110.162      202.656
       61        0.921        5.602            0      329.262      143.337      205.584
       62        0.886        5.690            0      325.995      107.681      198.869
       63        0.846        5.580            0      323.552      122.759      198.069
       64        0.847        5.638            0      324.986      100.388      203.817
       65        0.963        5.564            0      326.511      136.384      205.256
       66        0.795        5.694            0      326.063      101.988      198.151
       67        0.925        5.614            0      323.419      110.053      197.138
       68        0.872        5.643            0      324.731       91.147      198.698
       69        0.969        5.669            0      327.904      117.776      204.093
       70        0.817        5.702            0      328.080      126.870      204.633
       71        0.718        5.606            0      326.496      111.645      204.672
       72        0.848        5.617            0      325.452      106.407      201.164
       73        0.781        5.576            0      327.301      113.971      203.717
       74        0.895        5.614            0      323.978      111.164      203.377
       75        0.831        5.654            0      324.572      115.934      198.297
       76        0.875        5.626            0      323.857      116.208      198.563
       77        0.859        5.553            0      326.073      129.615      205.219
       78        0.745        5.540            0      324.011      113.438      204.098
       79        0.871        5.653            0      326.994      114.967      204.047
       80        0.851        5.745            0      327.550      116.931      200.478
       81        0.791        5.624            0      324.886      112.719      207.893
       82        0.904        5.622            0      327.771      114.200      199.425
       83        0.951        5.570            0      325.480      127.850      204.691
       84        0.852        5.607            0      326.071      125.199      207.457
       85        0.864        5.637            0      324.745      118.197      200.620
       86        0.840        5.562            0      325.804      131.641      200.651
       87        0.786        5.628            0      327.634      132.784      205.157
       88        0.907        5.622            0      325.429      106.921      201.941
       89        0.891        5.670            0      324.369      114.490      201.355
       90        0.760        5.536            0      323.559      109.871      201.967
       91        0.785        5.565            0      324.893      110.346      202.467
       92        0.878        5.516            0      322.813      118.235      201.470
       93        0.796        5.606            0      327.624      120.332      203.534
       94        0.659        5.544            0      325.628      122.268      198.902
       95        0.777        5.646            0      324.658      119.841      200.877
       96        0.943        5.594            0      328.098      133.474      203.062
       97        0.922        5.647            0      324.886      116.320      197.852
       98        0.761        5.688            0      327.598      106.240      199.605
       99        0.831        5.619            0      325.641      137.599      199.485
      100        0.826        5.649            0      324.739      133.780      196.534
      101        0.999        5.541            0      326.478      154.356      204.914
      102        0.871        5.606            0      323.453      127.865      197.379
      103        0.733        5.646            0      326.519      131.882      201.997
      104        0.860        5.641            0      329.705      148.933      209.097
      105        0.873        5.656            0      325.815      115.471      203.509
      106        0.825        5.595            0      325.901      125.924      199.971
      107        0.788        5.630            0      325.141      128.958      202.671
      108        0.826        5.609            0      325.883      113.816      202.409
      109        0.849        5.555            0      323.413      126.592      199.320
      110        0.787        5.519            0      323.883      121.254      205.686
      111        0.851        5.614            0      322.623      126.742      196.881
      112        0.713        5.648            0      326.921      124.609      202.085
      113        0.665        5.662            0      328.896      133.986      200.041
      114        0.822        5.629            0      323.569      110.760      203.714
      115        0.937        5.623            0      325.566      124.623      196.599
      116        0.857        5.556            0      322.731      123.706      200.306
      117        1.086        5.645            0      325.864      137.190      198.640
      118        0.756        5.558            0      326.368      129.888      207.105
      119        0.829        5.553            0      324.417      127.170      203.486
      120        0.865        5.598            0      327.935      136.984      207.873
      121        0.931        5.641            0      326.093      135.497      202.499
      122        0.786        5.659            0      326.564      138.493      202.302
      123        0.804        5.645            0      324.589      146.903      196.614
      124        0.803        5.672            0      325.021      119.767      199.503
      125        0.778        5.607            0      324.627      131.477      199.119
      126        0.926        5.647            0      325.142      124.246      197.859
      127        0.774        5.640            0      327.795      121.134      202.542
      128        0.920        5.588            0      325.608      118.733      201.776
      129        0.742        5.626            0      325.699      135.902      202.146
      130        0.807        5.634            0      326.056      125.876      199.383
      131        0.874        5.644            0      326.198      113.778      202.185
      132        0.816        5.607            0      323.799      129.107      200.585
      133        0.833        5.677            0      328.032      135.933      208.152
      134        0.829        5.608            0      325.754      148.922      200.029
      135        1.086        5.560            0      325.918      138.623      202.905
      136        0.853        5.654            0      325.925      132.503      200.534
      137        0.937        5.671            0      327.002      129.522      202.944
      138        0.809        5.643            0      326.253      130.466      198.099
      139        0.799        5.659            0      326.890      131.688      201.032
      140        0.902        5.616            0      324.027      133.136      199.791
      141        0.890        5.578            0      325.004      138.193      202.224
      142        0.808        5.637            0      325.566      119.537      202.190
      143        0.813        5.653            0      327.374      137.026      199.946
      144        0.805        5.644            0      325.165      127.431      197.182
      145        0.805        5.651            0      324.877      128.265      199.262
      146        0.785        5.611            0      325.356      146.711      199.413
      147        0.865        5.597            0      324.673      125.280      197.055
      148        0.744        5.562            0      323.779      140.430      201.866
      149        0.904        5.624            0      325.589      126.462      199.113
      150        0.871        5.731            0      328.264      145.206      211.455
      151        0.766        5.631            0      325.813      132.321      195.450
      152        0.790        5.631            0      326.334      133.762      203.597
      153        0.781        5.654            0      325.009      142.879      197.122
      154        0.880        5.573            0      325.377      145.310      202.184
      155        0.959        5.554            0      324.454      145.864      202.401
      156        0.772        5.618            0      325.416      124.409      199.028
      157        0.783        5.674            0      328.985      107.338      202.853
      158        1.005        5.543            0      325.735      128.822      195.787
      159        0.802        5.570            0      326.055      130.286      201.017
      160        0.791        5.655            0      326.615      139.215      199.393
      161        0.880        5.595            0      325.198      119.320      200.410
      162        0.773        5.576            0      325.967      127.986      200.087
      163        0.791        5.640            0      327.076      108.505      202.494
      164        0.928        5.560            0      324.998      110.493      201.953
      165        0.818        5.662            0      325.481      122.593      202.036
      166        0.878        5.597            0      324.311      100.949      196.928
      167        0.913        5.667            0      325.604      120.401      198.759
      168        0.918        5.631            0      326.417      122.754      202.996
      169        0.863        5.614            0      325.284      112.470      202.845
      170        0.751        5.633            0      325.961      134.947      199.330
      171        0.796        5.637            0      324.603      128.627      200.030
      172        1.117        5.573            0      324.599      146.255      195.846
      173        1.055        5.628            0      329.025      149.003      206.527
      174        0.818        5.626            0      324.006      123.274      201.246
      175        1.022        5.612            0      326.133      127.868      202.698
      176        1.100        5.704            0      327.648      135.829      195.734
      177        1.066        5.639            0      326.271      138.850      201.551
      178        0.839        5.610            0      325.361      105.317      198.589
      179        0.816        5.621            0      326.897      127.365      203.566
      180        1.149        5.624            0      327.019      122.987      201.720
      181        1.050        5.594            0      325.265      160.722      205.166
      182        1.023        5.478            0      322.828      123.284      203.091
      183        0.810        5.612            0      325.295      127.977      195.390
      184        0.898        5.580            0      325.269      100.464      199.549
      185        1.124        5.530            0      323.579      150.508      201.224
      186        1.026        5.605            0      325.724      141.894      198.363
      187        1.070        5.578            0      325.140      132.857      201.798
      188        0.821        5.630            0      324.689      116.834      199.802
      189        0.807        5.560            0      324.300      121.858      200.839
      190        0.880        5.586            0      322.701      135.767      198.532
      191        0.683        5.581            0      322.812      134.246      198.282
      192        0.811        5.633            0      326.319      142.963      202.200
      193        0.936        5.578            0      325.907      149.338      199.676
      194        0.762        5.638            0      326.624      121.709      200.757
      195        0.835        5.665            0      327.326       96.950      204.297
      196        0.807        5.557            0      325.558      100.382      201.512
      197        0.791        5.666            0      326.629      100.509      201.806
      198        0.768        5.612            0      324.692      120.802      198.784
      199        0.831        5.578            0      323.130      109.388      201.613
      200        0.852        5.626            0      322.951      123.971      196.480
      201        0.791        5.629            0      323.526      104.741      192.445
      202        0.821        5.634            0      328.312       97.983      203.179
      203        0.865        5.615            0      327.482      105.310      203.158
      204        0.766        5.606            0      326.645      112.863      203.284
      205        0.885        5.640            0      324.633      115.443      200.624
      206        0.907        5.535            0      325.274      133.799      204.513
      207        0.901        5.693            0      326.012      119.805      201.220
      208        0.847        5.672            0      326.995      111.920      203.150
      209        0.878        5.642            0      322.937      118.093      196.310
      210        0.698        5.599            0      328.700      112.233      204.534
      211        0.805        5.643            0      326.985      103.688      202.888
      212        0.899        5.572            0      323.258      138.030      205.381
      213        0.815        5.641            0      326.522      105.835      202.251
      214        0.843        5.697            0      327.395      113.351      199.413
      215        0.641        5.618            0      325.663      101.694      203.549
      216        0.824        5.598            0      324.917      120.524      197.464
      217        0.743        5.596            0      322.180      108.188      198.236
      218        0.951        5.527            0      324.343      117.129      204.553
      219        0.983        5.589            0      324.905      119.714      204.779
      220        0.970        5.603            0      324.716      146.582      201.415
      221        0.854        5.479            0      323.444      131.915      205.594
      222        0.965        5.497            0      323.084      148.740      203.625
      223        0.867        5.547            0      324.359      163.727      206.093
      224        0.862        5.508            0      325.202      147.082      203.929
      225        0.897        5.613            0      325.037      108.890      198.340
      226        1.096        5.568            0      324.072      118.131      197.614
      227        0.858        5.664            0      326.264       93.346      198.975
      228        1.091        5.494            0      324.751      127.430      210.807
      229        0.855        5.616            0      324.766       98.086      200.887
      230        0.972        5.595            0      324.435       99.469      203.706
      231        0.802        5.599            0      326.402       98.255      199.815
      232        0.832        5.541            0      322.526      104.876      197.420
      233        0.818        5.622            0      327.439       94.928      204.508
      234        0.797        5.596            0      322.884       91.726      203.625
      235        0.836        5.568            0      324.968      112.071      202.029
      236        1.110        5.558            0      327.416      148.183      209.924
      237        0.864        5.519            0      327.331      144.756      204.254
      238        0.826        5.685            0      326.597      109.279      199.168
      239        0.820        5.595            0      325.809      122.551      204.240
      240        1.062        5.637            0      324.081      144.929      198.598
      241        1.244        5.595            0      327.042      146.775      201.529
      242        0.761        5.606            0      323.237      104.571      195.430
      243        0.991        5.632            0      324.575      135.531      195.416
      244        1.065        5.612            0      323.926      140.900      199.499
      245        0.815        5.660            0      326.960      100.110      196.802
      246        0.835        5.690            0      328.470      107.277      205.210
      247        0.916        5.746            0      328.766      124.808      204.557
      248        0.815        5.616            0      325.749      117.963      202.206
      249        0.828        5.638            0      328.325      109.042      204.362
      250        0.913        5.681            0      325.592      126.065      202.502
      251        1.061        5.586            0      327.114      147.643      203.366
      252        1.033        5.619            0      326.882      154.716      204.940
      253        0.843        5.604            0      326.440      121.625      205.617
      254        0.963        5.637            0      324.952      124.418      199.750
      255        0.895        5.614            0      329.000      141.117      209.979
      256        0.841        5.541            0      324.006      107.758      199.633
      257        1.211        5.450            0      320.982      134.584      201.659
      258        1.105        5.576            0      323.808      142.833      196.903
      259        0.981        5.574            0      326.526      109.375      200.381
      260        0.807        5.657            0      327.329      129.920      201.436
      261        1.023        5.657            0      327.616      126.420      202.171
      262        0.928        5.620            0      325.979      105.198      203.388
      263        0.910        5.644            0      326.166       97.566      200.201
      264        0.756        5.629            0      324.518       88.223      196.681
      265        0.980        5.669            0      326.853      118.906      202.150
      266        0.914        5.648            0      324.664      127.043      197.273
      267        0.778        5.616            0      324.672      131.669      202.913
      268        0.955        5.593            0      329.625      145.331      207.829
      269        0.860        5.627            0      326.771      145.331      202.522
      270        0.788        5.616            0      325.967      125.657      202.077
      271        0.961        5.496            0      321.884      137.845      197.910
      272        0.892        5.627            0      326.632      128.579      200.818
      273        0.888        5.665            0      326.004      157.857      201.673
      274        0.788        5.739            0      326.918      142.170      197.510
      275        0.887        5.629            0      324.831      132.730      200.148
      276        0.827        5.612            0      327.563      115.051      205.231
      277        0.886        5.734            0      327.344      150.083      205.097
      278        0.856        5.692            0      328.395      104.157      198.000
      279        0.796        5.670            0      327.911      108.878      208.167
      280        0.866        5.660            0      325.800      105.132      201.741
      281        1.062        5.587            0      326.930      136.298      205.253
      282        0.945        5.612            0      326.895      105.553      199.463
      283        0.870        5.677            0      326.483      113.697      202.268
      284        0.777        5.655            0      325.963      107.460      201.258
      285        0.768        5.590            0      324.941      119.579      201.669
      286        0.849        5.573            0      325.655      141.969      200.003
      287        0.872        5.673            0      325.756      120.890      200.628
      288        0.860        5.584            0      325.378      114.770      205.013
      289        0.915        5.623            0      327.776      141.598      208.752
      290        0.994        5.560            0      328.059      134.069      202.712
      291        0.869        5.575            0      328.227      146.949      207.330
      292        1.027        5.539            0      326.510      128.657      205.328
      293        0.876        5.569            0      325.716      141.720      204.137
      294        1.086        5.648            0      327.627      155.280      201.711
      295        0.831        5.605            0      325.922      170.957      197.836
      296        1.126        5.542            0      324.963      150.219      208.304
      297        0.900        5.642            0      324.912       99.172      202.794
      298        0.724        5.535            0      322.261      108.355      201.151
      299        0.849        5.592            0      325.231      108.657      197.949
      300        0.917        5.633            0      324.926      118.465      196.387
      301        0.887        5.568            0      323.755      138.115      198.811
      302        0.805        5.607            0      323.635      128.668      199.915
      303        0.681        5.621            0      329.224      131.695      206.505
      304        0.769        5.610            0      324.363      115.656      203.617
      305        0.898        5.552            0      324.572      137.835      199.941
      306        0.806        5.661            0      327.262      126.892      205.664
      307        0.782        5.603            0      325.976      137.614      203.169
      308        0.787        5.657            0      327.740      129.266      208.453
      309        0.892        5.579            0      325.456      128.959      205.485
      310        0.812        5.655            0      324.175       99.978      199.212
      311        0.919        5.572            0      322.468      125.812      207.096
      312        0.821        5.708            0      327.162       99.957      198.059
      313        0.841        5.629            0      325.602       88.888      197.718
      314        0.847        5.618            0      326.722      113.495      198.707
      315        0.926        5.612            0      324.286      109.109      199.863
      316        0.763        5.637            0      327.103      125.343      203.154
      317        0.906        5.602            0      324.416      121.551      203.036
      318        0.683        5.637            0      325.402      113.857      202.223
      319        0.813        5.494            0      325.436      134.924      204.334
      320        0.828        5.691            0      325.426      111.387      198.523
      321        0.910        5.660            0      328.131      122.590      204.918
      322        0.773        5.526            0      324.854      122.217      199.635
      323        0.801        5.626            0      327.247      118.320      202.109
      324        0.779        5.590            0      324.694      124.466      194.197
      325        0.773        5.544            0      325.251      139.932      201.562
      326        0.776        5.597            0      326.238      124.030      203.567
      327        0.780        5.645            0      326.411      121.704      201.409
      328        0.856        5.701            0      325.660      120.858      197.638
      329        0.915        5.629            0      327.925      116.498      203.634
      330        0.785        5.501            0      324.556      141.028      202.304
      331        0.699        5.471            0      324.820      123.053      201.325
      332        0.781        5.669            0      327.416      127.904      203.755
      333        1.079        5.483            0      322.592      138.143      196.438
      334        0.780        5.612            0      325.612      117.485      202.134
      335        0.772        5.659            0      326.128      103.752      195.304
      336        0.724        5.579            0      325.678      127.527      201.705
      337        0.752        5.523            0      325.314      120.574      200.004
      338        0.825        5.615            0      324.955       98.032      200.208
      339        0.761        5.607            0      325.025      117.194      206.229
      340        0.680        5.583            0      325.898      124.345      205.064
      341        0.766        5.669            0      326.443      119.946      197.835
      342        0.828        5.675            0      324.821      141.500      199.523
      343        0.893        5.610            0      325.473      155.924      196.706
      344        0.724        5.679            0      326.139      104.733      198.911
      345        1.098        5.609            0      326.917      121.624      200.307
      346        0.778        5.522            0      325.919      100.439      200.492
      347        0.760        5.628            0      324.573      114.628      199.430
      348        0.827        5.638            0      327.118      105.799      200.465
      349        0.871        5.526            0      325.795      136.859      199.948
      350        0.859        5.570            0      324.684      100.134      198.495
      351        0.741        5.533            0      321.893       90.460      206.008
      352        0.811        5.564            0      326.802      126.490      200.898
      353        0.812        5.591            0      323.920      109.354      199.269
      354        0.756        5.536            0      324.005      113.717      201.873
      355        0.828        5.577            0      324.465      112.869      193.699
      356        0.861        5.663            0      324.733       94.819      200.767
      357        0.845        5.602            0      322.267      103.742      194.021
      358        0.801        5.588            0      325.536      100.640      204.887
