   # Atom# PDBResName  wrt_Protein   wrt_Ligand 
         1                   0.826        0.478
         2                   0.842        0.335
         3                   0.788        0.164
         4                   0.809        0.238
         5                   0.784        0.191
         6                   0.812        0.311
         7                   0.792        0.287
         8                   0.809        0.356
         9                   0.886        0.569
        10                   0.807        0.346
        11                   0.812        0.360
        12                   1.073        0.417
        13                   1.533        0.899
        14                   1.023        0.230
        15                   1.553        1.206
        16                   1.631        1.236
        17                   1.152        0.340
        18                   1.315        0.573
        19                   1.562        1.153
        20                   1.558        1.167
        21                   0.770        0.331
        22                   0.773        0.426
        23                   0.770        0.290
        24                   0.817        0.479
